"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"400","Duration of compulsory education (years)","PAK","Pakistan","2018","2018",12,,
"400","Duration of compulsory education (years)","PAK","Pakistan","2019","2019",12,,
"400","Duration of compulsory education (years)","SAU","Saudi Arabia","2018","2018",9,,
"400","Duration of compulsory education (years)","SAU","Saudi Arabia","2019","2019",9,,
"400","Duration of compulsory education (years)","KIR","Kiribati","2018","2018",9,,
"400","Duration of compulsory education (years)","KIR","Kiribati","2019","2019",9,,
"400","Duration of compulsory education (years)","ESP","Spain","2018","2018",10,,
"400","Duration of compulsory education (years)","ESP","Spain","2019","2019",10,,
"400","Duration of compulsory education (years)","AUT","Austria","2018","2018",13,,
"400","Duration of compulsory education (years)","AUT","Austria","2019","2019",13,,
"400","Duration of compulsory education (years)","FRA","France","2018","2018",10,,
"400","Duration of compulsory education (years)","FRA","France","2019","2019",10,,
"400","Duration of compulsory education (years)","BIH","Bosnia and Herzegovina","2018","2018",9,,
"400","Duration of compulsory education (years)","BIH","Bosnia and Herzegovina","2019","2019",9,,
"400","Duration of compulsory education (years)","AFG","Afghanistan","2018","2018",9,,
"400","Duration of compulsory education (years)","AFG","Afghanistan","2019","2019",9,,
"400","Duration of compulsory education (years)","FJI","Fiji","2018","2018",,"a","Category not applicable"
"400","Duration of compulsory education (years)","FJI","Fiji","2019","2019",,"a","Category not applicable"
"400","Duration of compulsory education (years)","LCA","Saint Lucia","2018","2018",10,,
"400","Duration of compulsory education (years)","LCA","Saint Lucia","2019","2019",10,,
"400","Duration of compulsory education (years)","SVN","Slovenia","2018","2018",9,,
"400","Duration of compulsory education (years)","SVN","Slovenia","2019","2019",9,,
"400","Duration of compulsory education (years)","ZMB","Zambia","2018","2018",7,,
"400","Duration of compulsory education (years)","ZMB","Zambia","2019","2019",7,,
"400","Duration of compulsory education (years)","ITA","Italy","2018","2018",12,,
"400","Duration of compulsory education (years)","ITA","Italy","2019","2019",12,,
